player_id,name,position,team,engine_value,sf_engine_value
12540,Chimere Dike,WR,TEN,286.8,279.1
6943,Gabe Davis,WR,BUF,280.4,272.6
12499,Elic Ayomanor,WR,TEN,279.9,272.1
11783,Ryan Flournoy,WR,DAL,279.1,271.3
11650,Luke McCaffrey,WR,WSH,278.0,270.2
7670,Joshua Palmer,WR,BUF,277.4,269.5
4950,Christian Kirk,WR,HOU,273.0,265.0
8125,Calvin Austin III,WR,PIT,269.9,261.9
4454,Kendrick Bourne,WR,SF,267.3,259.3
10226,Andrei Iosivas,WR,CIN,263.0,254.8
9502,Tank Dell,WR,HOU,262.0,253.9
5970,Greg Dortch,WR,ARI,260.9,252.7
10444,Cedric Tillman,WR,CLE,260.5,252.3
7596,Elijah Moore,WR,BUF,247.2,238.7
6803,Brandon Aiyuk,WR,SF,246.9,238.4
11834,Devaughn Vele,WR,NO,242.2,233.6
4177,Mack Hollins,WR,NE,238.3,229.5
8117,Jalen Tolbert,WR,DAL,238.1,229.4
8119,Jahan Dotson,WR,PHI,229.6,220.7
7562,Tutu Atwell,WR,LAR,227.7,218.7
1689,Adam Thielen,WR,MIN,224.5,215.4
1426,DeAndre Hopkins,WR,BAL,224.5,215.4
6960,Tyler Johnson,WR,NYJ,224.2,215.1
4082,Curtis Samuel,WR,BUF,220.0,210.8
4234,Noah Brown,WR,WSH,215.9,206.6
2374,Tyler Lockett,WR,LV,205.3,195.6
4171,Josh Reynolds,WR,NYJ,204.0,194.3
8250,Tay Martin,WR,WSH,204.0,194.3
3200,Sterling Shepard,WR,TB,198.4,188.5
5185,Allen Lazard,WR,NYJ,197.4,187.6
2197,Brandin Cooks,WR,NO,197.2,187.3
3286,Demarcus Robinson,WR,SF,190.8,180.7
4080,Zay Jones,WR,ARI,190.5,180.4
5096,Ray-Ray McCloud III,WR,NYG,182.5,172.1
7496,Nick Westbrook-Ikhine,WR,MIA,172.5,161.7
