player_id,name,position,team,engine_value
111,Marcedes Lewis,TE,DEN,222.3
5096,Ray-Ray McCloud III,WR,NYG,378.4
8117,Jalen Tolbert,WR,DAL,465.0
11034,,,,439.0
4454,Kendrick Bourne,WR,SF,441.9
6819,Michael Pittman Jr.,WR,IND,598.2
12457,Jaydon Blue,RB,DAL,462.7
12765,,,,387.4
11566,Jayden Daniels,QB,WSH,620.2
8122,Bam Knight,RB,ARI,494.5
8013,Tim Jones,WR,JAX,370.2
8170,James Mitchell,TE,CAR,385.1
13047,Jacardia Wright,RB,SEA,243.0
7536,Quintin Morris,TE,JAX,378.8
12508,Jaxson Dart,QB,NYG,677.3
5980,,,,100.2
4995,Ian Thomas,TE,LV,346.5
9511,Keaton Mitchell,RB,BAL,470.8
11647,Kimani Vidal,RB,LAC,536.5
9754,Quentin Johnston,WR,LAC,638.4
8849,Tanner Conner,TE,MIA,382.9
4574,Cooper Rush,QB,BAL,280.2
7608,,,,95.5
9486,Dontayvion Wicks,WR,GB,527.6
7946,Jack Stoll,TE,NO,372.3
11604,Brock Bowers,TE,LV,698.0
12484,Jayden Higgins,WR,HOU,559.9
9482,Michael Mayer,TE,LV,443.7
9997,Zay Flowers,WR,BAL,644.4
10231,Elijah Higgins,TE,ARI,410.3
9508,Tyjae Spears,RB,TEN,455.9
7562,Tutu Atwell,WR,LAR,456.3
3634,Kalif Raymond,WR,DET,377.3
5022,Dallas Goedert,TE,PHI,504.3
5773,KhaDarel Hodge,WR,ATL,319.2
10444,Cedric Tillman,WR,CLE,519.6
5967,Tony Pollard,RB,TEN,366.2
13151,Nick Kallerup,TE,SEA,383.7
5854,Drew Lock,QB,SEA,298.6
12499,Elic Ayomanor,WR,TEN,554.3
7588,Javonte Williams,RB,DAL,625.6
12971,Ke'Shawn Williams,WR,PIT,407.3
11320,Nikko Remigio,WR,KC,395.1
7021,Rico Dowdle,RB,CAR,514.2
5970,Greg Dortch,WR,ARI,519.8
12539,Arian Smith,WR,NYJ,425.9
4039,Cooper Kupp,WR,SEA,491.4
6850,Harrison Bryant,TE,HOU,361.7
5012,Mark Andrews,TE,BAL,403.0
4098,Kareem Hunt,RB,KC,413.5
13150,Darius Cooper,WR,PHI,430.5
421,Matthew Stafford,QB,LAR,569.4
7891,Brock Wright,TE,DET,408.0
4663,Austin Ekeler,RB,WSH,299.0
12897,Nathan Carter,RB,ATL,398.9
4137,James Conner,RB,ARI,391.6
5985,Foster Moreau,TE,NO,352.7
12480,Moliki Matavao,TE,NO,377.0
3976,Mitchell Trubisky,QB,BUF,276.9
4171,Josh Reynolds,WR,NYJ,413.8
5848,Hollywood Brown,WR,KC,541.7
8676,Rashid Shaheed,WR,SEA,550.3
8489,Drew Ogletree,TE,IND,367.8
3321,Tyreek Hill,WR,MIA,564.5
1466,Travis Kelce,TE,KC,462.6
8126,Wan'Dale Robinson,WR,NYG,700.8
7527,Mac Jones,QB,SF,556.2
11628,Marvin Harrison Jr.,WR,ARI,669.1
12536,Jaylin Noel,WR,HOU,504.8
6290,Scotty Miller,WR,PIT,347.6
12545,Tyler Shough,QB,NO,555.7
11921,Xavier Weaver,WR,ARI,437.5
4983,DJ Moore,WR,CHI,564.9
11834,Devaughn Vele,WR,NO,470.8
7569,Nico Collins,WR,HOU,762.1
96,Aaron Rodgers,QB,PIT,510.5
5154,Trent Sherfield Sr.,WR,DEN,334.5
5870,Daniel Jones,QB,IND,621.1
4443,,,,282.1
6801,Tee Higgins,WR,CIN,672.0
3294,Dak Prescott,QB,DAL,593.4
11370,Chris Brooks,RB,GB,253.5
4984,Josh Allen,QB,BUF,814.1
7567,Kenneth Gainwell,RB,PIT,437.3
8138,James Cook III,RB,BUF,592.5
12509,Tre' Harris,WR,LAC,493.4
7612,Dee Eskridge,WR,MIA,350.2
12171,British Brooks,RB,HOU,154.2
8799,Zaire Mitchell-Paden,TE,NO,372.7
4988,Nick Chubb,RB,HOU,300.0
4040,JuJu Smith-Schuster,WR,KC,436.7
12498,Mason Taylor,TE,NYJ,453.6
11562,Spencer Rattler,QB,NO,547.3
5121,Braxton Berrios,WR,HOU,391.5
4314,Johnny Mundt,TE,JAX,298.1
8208,Tyler Badie,RB,DEN,264.3
11168,Xavier Smith,WR,LAR,402.0
12412,Terrell Jennings,RB,NE,378.1
13079,Jahdae Walker,WR,CHI,416.4
12775,Max Brosmer,QB,MIN,371.2
2133,Davante Adams,WR,LAR,743.5
12523,Jimmy Horn Jr.,WR,CAR,465.2
11256,Tyson Bagent,QB,CHI,375.5
7050,Josiah Deguara,TE,ARI,338.8
4602,Robert Tonyan,TE,KC,276.7
9753,Zach Charbonnet,RB,SEA,524.6
7694,Tommy Tremble,TE,CAR,420.1
11597,Theo Johnson,TE,NYG,486.5
11068,Mitchell Tinsley,WR,CIN,448.2
9228,Bryce Young,QB,CAR,582.9
827,Tyrod Taylor,QB,NYJ,426.7
8180,Jalen Nailor,WR,MIN,542.5
7611,Rhamondre Stevenson,RB,NE,392.9
12473,Mitchell Evans,TE,CAR,414.0
10222,Jayden Reed,WR,GB,553.3
6938,Cam Akers,RB,MIN,221.2
4234,Noah Brown,WR,WSH,420.1
8129,Dameon Pierce,RB,HOU,243.9
11565,J.J. McCarthy,QB,MIN,588.4
12482,Savion Williams,WR,GB,476.9
11157,Brycen Tremayne,WR,CAR,427.7
8145,Jeremy Ruckert,TE,NYJ,415.4
9480,Brenton Strange,TE,JAX,481.1
8210,Chig Okonkwo,TE,TEN,444.0
12495,Ollie Gordon II,RB,MIA,517.8
8227,Teagan Quitoriano,TE,ATL,379.0
5849,Kyler Murray,QB,ARI,578.1
11626,Xavier Legette,WR,CAR,570.9
12889,Beaux Collins,WR,NYG,437.9
4080,Zay Jones,WR,ARI,401.9
5086,Marquez Valdes-Scantling,WR,PIT,321.7
3048,Chris Manhertz,TE,NYG,238.6
13075,,,,379.0
10232,Michael Wilson,WR,ARI,637.4
11762,Anthony Gould,WR,IND,417.4
10214,Davis Allen,TE,LAR,432.1
4147,Samaje Perine,RB,CIN,245.5
4981,Calvin Ridley,WR,TEN,447.8
