player_id,name,position,team,engine_value,sf_engine_value,value_confidence,engine_value_8,sf_engine_value_8,engine_value_10,sf_engine_value_10,engine_value_12,sf_engine_value_12,engine_value_14,sf_engine_value_14
12489,RJ Harvey,RB,DEN,329.1,284.0,0.29,311.0,268.6,329.1,284.0,351.9,303.4,382.8,329.5
12534,Kyle Monangai,RB,CHI,323.9,279.5,0.29,311.1,268.7,323.9,279.5,345.8,298.1,377.6,325.2
4137,James Conner,RB,ARI,323.2,279.0,0.264,323.2,279.0,323.2,279.0,323.2,279.0,323.2,279.0
5967,Tony Pollard,RB,TEN,318.3,274.8,0.272,318.3,274.8,318.3,274.8,318.3,274.8,318.3,274.8
9225,Tank Bigsby,RB,PHI,315.9,272.8,0.264,315.9,272.8,315.9,272.8,333.7,287.8,364.9,314.4
8136,Rachaad White,RB,WAS,312.4,269.8,0.264,312.4,269.8,312.4,269.8,312.4,269.8,312.4,269.8
11655,Tyrone Tracy Jr.,RB,NYG,306.6,264.8,0.277,306.6,264.8,306.6,264.8,306.6,264.8,313.9,271.1
4199,Aaron Jones Sr.,RB,MIN,304.9,263.4,0.264,304.9,263.4,304.9,263.4,304.9,263.4,304.9,263.4
4098,Kareem Hunt,RB,KC,300.0,259.3,0.266,300.0,259.3,300.0,259.3,300.0,259.3,300.0,259.3
9506,Sean Tucker,RB,TB,298.7,258.2,0.278,298.7,258.2,298.7,258.2,300.2,259.4,324.1,279.7
12476,Devin Neal,RB,NO,297.6,257.2,0.29,293.1,253.4,297.6,257.2,315.5,272.4,349.5,301.3
8132,Tyler Allgeier,RB,ARI,291.9,252.4,0.28,291.9,252.4,291.9,252.4,291.9,252.4,291.9,252.4
9511,Keaton Mitchell,RB,LAC,287.5,248.6,0.285,287.5,248.6,287.5,248.6,287.5,248.6,311.9,269.4
10219,Chris Rodriguez Jr.,RB,JAX,287.0,248.2,0.285,287.0,248.2,287.0,248.2,287.0,248.2,287.0,248.2
8122,Bam Knight,RB,ARI,286.5,247.8,0.29,286.5,247.8,286.5,247.8,286.5,247.8,305.8,264.2
8205,Isiah Pacheco,RB,DET,282.6,244.5,0.273,282.6,244.5,282.6,244.5,282.6,244.5,282.6,244.5
12474,Woody Marks,RB,HOU,282.3,244.3,0.29,282.3,244.3,282.3,244.3,287.4,248.6,313.6,270.8
11586,Blake Corum,RB,LAR,280.8,243.0,0.29,280.8,243.0,280.8,243.0,280.8,243.0,284.9,246.5
7607,Michael Carter,RB,TEN,279.9,242.2,0.264,279.9,242.2,279.9,242.2,279.9,242.2,279.9,242.2
8408,Jordan Mason,RB,MIN,274.6,237.7,0.272,274.6,237.7,274.6,237.7,274.6,237.7,274.6,237.7
12533,Jacory Croskey-Merritt,RB,WAS,260.3,225.6,0.29,260.3,225.6,260.3,225.6,260.3,225.6,282.7,244.6
8154,Brian Robinson Jr.,RB,ATL,247.1,214.4,0.264,247.1,214.4,247.1,214.4,247.1,214.4,247.1,214.4
4663,Austin Ekeler,RB,WAS,245.7,213.1,0.264,245.7,213.1,245.7,213.1,245.7,213.1,245.7,213.1
4018,Joe Mixon,RB,HOU,245.2,212.7,0.264,245.2,212.7,245.2,212.7,245.2,212.7,245.2,212.7
4988,Nick Chubb,RB,HOU,245.1,212.7,0.271,245.1,212.7,245.1,212.7,245.1,212.7,245.1,212.7
7528,Najee Harris,RB,LAC,241.3,209.4,0.264,241.3,209.4,241.3,209.4,241.3,209.4,241.3,209.4
5995,Justice Hill,RB,BAL,236.5,205.3,0.271,236.5,205.3,236.5,205.3,236.5,205.3,236.5,205.3
8143,Jerome Ford,RB,WAS,233.9,203.1,0.264,233.9,203.1,233.9,203.1,233.9,203.1,233.9,203.1
6130,Devin Singletary,RB,NYG,231.9,201.4,0.277,231.9,201.4,231.9,201.4,231.9,201.4,231.9,201.4
6151,Miles Sanders,RB,DAL,226.4,196.8,0.276,226.4,196.8,226.4,196.8,226.4,196.8,226.4,196.8
6945,Antonio Gibson,RB,NE,216.3,188.2,0.272,216.3,188.2,216.3,188.2,216.3,188.2,216.3,188.2
4147,Samaje Perine,RB,CIN,199.5,173.9,0.278,199.5,173.9,199.5,173.9,199.5,173.9,199.5,173.9
2749,Raheem Mostert,RB,LV,198.5,173.1,0.268,198.5,173.1,198.5,173.1,198.5,173.1,198.5,173.1
2359,Ameer Abdullah,RB,JAX,176.6,154.5,0.264,176.6,154.5,176.6,154.5,176.6,154.5,176.6,154.5
6828,AJ Dillon,RB,CAR,143.2,126.1,0.281,143.2,126.1,143.2,126.1,143.2,126.1,143.2,126.1
8130,Trey McBride,TE,ARI,415.7,362.5,0.293,415.7,362.5,415.7,362.5,415.7,362.5,415.7,362.5
11604,Brock Bowers,TE,LV,337.8,291.5,0.282,320.1,276.3,337.8,291.5,363.5,313.8,378.1,326.5
9484,Tucker Kraft,TE,GB,335.7,290.2,0.297,322.1,278.4,335.7,290.2,355.5,307.5,366.5,317.3
10859,Sam LaPorta,TE,DET,290.0,250.8,0.287,273.6,236.9,290.0,250.8,313.9,271.6,327.5,283.5
7553,Kyle Pitts Sr.,TE,ATL,266.9,231.2,0.297,264.6,229.2,266.9,231.2,293.3,253.8,308.4,267.0
12506,Harold Fannin Jr.,TE,CLE,190.7,166.5,0.297,190.7,166.5,190.7,166.5,190.7,166.5,190.7,166.5
4217,George Kittle,TE,SF,188.2,164.3,0.281,188.2,164.3,188.2,164.3,188.2,164.3,188.9,164.9
10236,Dalton Kincaid,TE,BUF,187.1,163.4,0.293,184.7,161.3,187.1,163.4,189.0,165.0,204.0,177.9
9480,Brenton Strange,TE,JAX,185.7,162.2,0.297,183.4,160.2,185.7,162.2,189.3,165.3,191.7,167.3
11603,AJ Barner,TE,SEA,179.8,157.2,0.297,179.8,157.2,179.8,157.2,179.8,157.2,179.8,157.2
